المعرف,الاسم,"العلامة الإزامية(نسبة إكمال البيانات)","العلامة الإجمالية(نسبة إكمال البيانات)","معتمدة بتاريخ","معتمدة من قبل المديرية بتاريخ","معتمدة من قبل الوزارة بتاريخ","المعرف(الشكل القانوني)","الاسم(الشكل القانوني)","مستخدم المديرية المعتمد","مستخدم الوزارة المعتمد",المعرف(المحافظة),الاسم(المحافظة)
271,"البر والإحسان حران العواميد",73,76,,,,3,جمعية,,,13,"ريف دمشق",
272,"الشيخ محي الدين بن عربي الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
273,"الرحمة المارونية",73,76,,,,3,جمعية,,,9,حمص,
274,"الخيرية لحي الزاهرة",73,76,,,,3,جمعية,,,1,دمشق,
275,"رابطة حقوق الانسان",73,76,,,,5,رابطة,,,1,دمشق,
276,"العمل الخيري الاجتماعي",83,78,,,,3,جمعية,,,1,دمشق,
277,"نادي عمال المصابغ الفنية بحمص",73,76,,,,4,نادي,,,9,حمص,
278,"زهرة المدائن الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
279,"القديس ديمتروس في جديدة عرطوز",73,76,,,,3,جمعية,,,13,"ريف دمشق",
280,"الخيرية الارثوذكسية في الميدان",73,76,,,,3,جمعية,,,1,دمشق,
281,"الخيرية الفلسطينية",78,78,,,,3,جمعية,,,,,
282,"ارباب الشعائر الدينية الاسلامية",73,76,,,,3,جمعية,,,1,دمشق,
283,"نادي الشطرنج",73,76,,,,4,نادي,,,9,حمص,
284,"اصدقاء الفن للرسم والنحت",73,76,,,,3,جمعية,,,1,دمشق,
285,"نادي شباب النيرب للآداب والفنون",73,76,,,,4,نادي,,,2,حلب,
286,"رابطة الموظفين و المستخدمين",73,76,,,,5,رابطة,,,2,حلب,
287,"السورية لأطباء الانف والاذن والحنجرة",73,76,,,,3,جمعية,,,1,دمشق,
288,"رابطة الاطباء الموظفين في وزارة الصحة",73,76,,,,5,رابطة,,,1,دمشق,
289,"النادي الريفي في حريتان",73,76,,,,4,نادي,,,2,حلب,
290,"رابطة الاحصائيين",57,55,,,,5,رابطة,,,2,حلب,
291,"نهضة الريف في جباتا الخشب",57,57,,,,3,جمعية,,,12,القنيطرة,
292,"الفرقان للعلوم الشرعية",73,76,,,,3,جمعية,,,1,دمشق,
293,"عضد الفقير بصدد",57,55,,,,3,جمعية,,,9,حمص,
294,"دمشق الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
295,"البر في يبرود",73,76,,,,3,جمعية,,,13,"ريف دمشق",
296,"الرعاية الاجتماعية لتعليم وتأهيل فاقدي السمع",57,55,,,,3,جمعية,,,2,حلب,
297,"الإصلاحية لمصيف الغسانية",57,55,,,,3,جمعية,,,10,إدلب,
298,"الرابطة الطبوغرافية العقارية بحماة",57,55,,,,5,رابطة,,,8,حماة,
299,"السورية لمكافحة السرطان",73,76,,,,3,جمعية,,,1,دمشق,
300,"اتحاد جمعيات رعاية الصم والبكم في سوريا",73,76,,,,2,اتحاد,,,1,دمشق,
301,"موظفي وعم حصر التبغ والتنباك",73,76,,,,3,جمعية,,,1,دمشق,
302,"الخيرية لمحلة باب تدمر",57,55,,,,3,جمعية,,,9,حمص,
303,"نادي العمل الثقافي",57,55,,,,4,نادي,,,11,اللاذقية,
304,"السورية لأطباء العين",73,76,,,,3,جمعية,,,1,دمشق,
305,"خدمات الاجتماعية لبلدة مرمريتا",73,76,,,,3,جمعية,,,1,دمشق,
306,"العلوم الاقتصادية",73,76,,,,3,جمعية,,,1,دمشق,
307,"النادي العربي الفلسطيني بحلب",57,55,,,,4,نادي,,,2,حلب,
308,"موظفي وعمال مؤسسة حصر التبغ في حلب",83,78,,,,3,جمعية,,,2,حلب,
309,"كيليكيا الثقافية في حلب",57,55,,,,3,جمعية,,,2,حلب,
310,"الاطباء المخدرين في سورية",73,76,,,,3,جمعية,,,1,دمشق,
