المعرف,الاسم,"العلامة الإزامية(نسبة إكمال البيانات)","العلامة الإجمالية(نسبة إكمال البيانات)","معتمدة بتاريخ","معتمدة من قبل المديرية بتاريخ","معتمدة من قبل الوزارة بتاريخ","المعرف(الشكل القانوني)","الاسم(الشكل القانوني)","مستخدم المديرية المعتمد","مستخدم الوزارة المعتمد",المعرف(المحافظة),الاسم(المحافظة)
1612,"العطاء الخيرية باليعربية",90,82,,,,3,جمعية,,,3,الحسكة,
1613,البيادر,67,73,,,,3,جمعية,,,11,اللاذقية,
1614,"أحياء التراث",100,86,,,,3,جمعية,,,14,طرطوس,
1615,"بصمة أمل بالقامشلي",90,86,,,,3,جمعية,,,3,الحسكة,
1616,"العون الانسانية في سلحب",57,55,,,,3,جمعية,,,8,حماة,
1617,"حمص الخيرية للخدمات الصحية",67,73,,,,3,جمعية,,,9,حمص,
1618,"حلا النموذجية لرعاية الطلبة ذوي صعوبات التعلم",67,73,,,,3,جمعية,,,9,حمص,
1619,"حماية المستهلك",67,73,,,,3,جمعية,,,1,دمشق,
1620,"حبة خردل",67,73,,,,3,جمعية,,,1,دمشق,
1621,"الكسوة للأعمال الخيرية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1622,"تاء مبسوطة",67,73,,,,3,جمعية,,,1,دمشق,
1623,"مزرعة الحنفية الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1624,"عين حفاض الخيرية",100,86,,,,3,جمعية,,,14,طرطوس,
1625,"لاهثة الخيرية",67,73,,,,3,جمعية,,,5,السويداء,
1626,"المنتدى الوطني السوري",67,73,,,,3,جمعية,,,1,دمشق,
1627,"ملتقى الاسرة السورية",67,73,,,,3,جمعية,,,1,دمشق,
1628,"القبس الخيرية بالقامشلي",90,82,,,,3,جمعية,,,3,الحسكة,
1629,"الانسانية الخيرية",67,73,,,,3,جمعية,,,9,حمص,
1630,"المشقوق الخيرية",67,73,,,,3,جمعية,,,5,السويداء,
1631,"نور سورية لذوي الاعاقة بالقامشلي",67,73,,,,3,جمعية,,,3,الحسكة,
1632,الصواري,90,80,,,,3,جمعية,,,11,اللاذقية,
1633,"دار الربيع للتربية والتأهيل والبناء العملي",67,73,,,,3,جمعية,,,11,اللاذقية,
1634,"صناع السلام",67,73,,,,3,جمعية,,,11,اللاذقية,
1635,"جمعية أصدقاء الموسيقا",100,88,,,,3,جمعية,,,14,طرطوس,
1636,"السورية الحضارية",67,73,,,,1,مؤسسة,,,1,دمشق,
1637,"ساعدي بالقامشلي",67,73,,,,3,جمعية,,,3,الحسكة,
1638,"جمعية بنا الخيرية بالقامشلي",67,73,,,,3,جمعية,,,3,الحسكة,
1639,"الفجر الخيرية الاجتماعية",67,73,,,,3,جمعية,,,11,اللاذقية,
1640,"دوما الخيرية",67,73,,,,3,جمعية,,,5,السويداء,
1641,"الوفاق الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1642,"القصور الخيرية",67,73,,,,3,جمعية,,,1,دمشق,
1643,جذور,67,73,,,,3,جمعية,,,1,دمشق,
1644,"جناح أزرق",67,73,,,,1,مؤسسة,,,1,دمشق,
1645,"مؤسسة حياة",67,73,,,,1,مؤسسة,,,1,دمشق,
1646,"النهضة السورية",67,73,,,,1,مؤسسة,,,1,دمشق,
1647,"الماجد للتنمية (لأجلك سورية سابقاً)",67,73,,,,1,مؤسسة,,,1,دمشق,
1648,مساحات,67,73,,,,1,مؤسسة,,,1,دمشق,
1649,"الثقافة والابداع",67,73,,,,3,جمعية,,,5,السويداء,
1650,"سربيون الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1651,"الإخاء بالقامشلي",67,73,,,,3,جمعية,,,3,الحسكة,
1652,"بابل التنموية المجتمعية الخيرية",83,80,,,,3,جمعية,,,9,حمص,
1653,"الطريق المستقيم",67,73,,,,1,مؤسسة,,,1,دمشق,
1654,"الاعجاز العلمي",67,73,,,,1,مؤسسة,,,13,"ريف دمشق",
1655,"الأمين للأعمال الإنسانية",67,73,,,,1,مؤسسة,,,1,دمشق,
1656,"العطاء الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1657,"معا لدعم ذوي الشهداء ومصابي الحرب",67,73,,,,3,جمعية,,,2,حلب,
1658,"نادي العطاء",67,73,,,,4,نادي,,,9,حمص,
1659,"مؤسسة الاماني الخيرية بالحسكة",100,96,"2023-10-10 11:06:29",,,3,جمعية,,,3,الحسكة,
1660,"رضيمة اللوا الخيرية",67,73,,,,3,جمعية,,,5,السويداء,
1661,العاصي,67,73,,,,3,جمعية,,,9,حمص,
1662,تمكين,67,73,,,,1,مؤسسة,,,13,"ريف دمشق",
1663,"شمعة أمل",67,73,,,,3,جمعية,,,1,دمشق,
1664,"سوريا الأم بالقامشلي",67,73,,,,3,جمعية,,,3,الحسكة,
1665,"جمعية نيزك التنموية",67,73,,,,3,جمعية,,,9,حمص,
1666,"رايات الشهداء",67,73,,,,3,جمعية,,,,,
1667,البنيان,73,76,,,,3,جمعية,,,14,طرطوس,
1668,"البتول الخيرية",57,55,,,,3,جمعية,,,8,حماة,
1669,"دار الحياة",90,82,,,,3,جمعية,,,1,دمشق,
1670,"شباب الربوة",67,73,,,,3,جمعية,,,9,حمص,
1671,"جاد الله لمواساة متضررين الحرب",67,73,,,,3,جمعية,,,2,حلب,
1672,"سنابل الأمل الخيرية",87,88,,,,3,جمعية,,,3,الحسكة,
1673,"نبض سورية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1674,"الانتاج التلفزيوني والسينمائي والإذاعي",67,73,,,,3,جمعية,,,1,دمشق,
1675,"زنوبيا للمرأة السورية",67,73,,,,3,جمعية,,,1,دمشق,
1676,"كرامة للتنمية الاجتماعية",67,73,,,,1,مؤسسة,,,5,السويداء,
1677,"تاريخ دمشق",67,73,,,,1,مؤسسة,,,1,دمشق,
1678,المنتدى,67,73,,,,1,مؤسسة,,,1,دمشق,
1679,"التون المرقب",73,76,,,,3,جمعية,,,14,طرطوس,
1680,"محردة الخيرية",67,73,,,,3,جمعية,,,,,
1681,"معاً للمستقبل",57,55,,,,3,جمعية,,,8,حماة,
1682,"بكرا أحلى",67,73,,,,3,جمعية,,,2,حلب,
1683,"لمسة امل",57,55,,,,3,جمعية,,,8,حماة,
1684,"ميسلون بالقامشلي",67,73,,,,3,جمعية,,,3,الحسكة,
1685,"صليب التركمان الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1686,"جمعية القديس منصور الخيرية بحمص",83,78,,,,1,مؤسسة,,,9,حمص,
1687,"التطوير للبيئة",67,73,,,,1,مؤسسة,,,9,حمص,
1688,"شموع السلام",67,73,,,,3,جمعية,,,1,دمشق,
1689,مزيد,83,90,,,,3,جمعية,,,2,حلب,
1690,"الخالدية الخيرية",67,73,,,,3,جمعية,,,5,السويداء,
1691,"السعادة الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1692,"الدفلة الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1693,"خريجي العلوم السياسية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1694,"ابناء الكلمة الخيرية",67,73,,,,3,جمعية,,,2,حلب,
1695,"أنبل البشر",67,73,,,,3,جمعية,,,9,حمص,
1696,"حوراء الخيرية في سلمية",57,55,,,,1,مؤسسة,,,8,حماة,
1697,"رياحين التنموية",67,73,,,,3,جمعية,,,11,اللاذقية,
1698,"الوفاء للتنمية الاجتماعية بالقامشلي",67,73,,,,3,جمعية,,,3,الحسكة,
1699,"الباحثين في علوم التغذية والعلاج الطبيعي",67,73,,,,3,جمعية,,,11,اللاذقية,
1700,بدايات,80,77,,,,1,مؤسسة,,,13,"ريف دمشق",
1701,الدكيكة,73,76,,,,3,جمعية,,,14,طرطوس,
1702,"بيتي للتنمية",67,73,,,,1,مؤسسة,,,9,حمص,
1703,"ميادين العمل الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1704,"بشرى الغد الخيرية التنموية",100,98,,,,3,جمعية,,,2,حلب,
1705,"الرابطة العلمية الاجتماعية الهندسية للصناعة و الميكانيك",100,88,"2023-10-13 14:52:15",,,5,رابطة,,,2,حلب,
1706,"بسمة طفل",73,76,,,,3,جمعية,,,14,طرطوس,
1707,"جود للتنمية المجتمعية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1708,"الكسوة للثقافة والتنمية الخيرية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1709,"طيف للتنمية المجتمعية",73,76,,,,3,جمعية,,,14,طرطوس,
1710,"سند الشباب التنموية",73,76,,,,1,مؤسسة,,,1,دمشق,
1711,"النجاة الخيرية",67,73,,,,3,جمعية,,,9,حمص,
1712,"طلاب الطب السوريين - سمسا",67,73,,,,3,جمعية,,,1,دمشق,
1713,"الانبعاث الخيرية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1714,"الثقافية الفنية السورية",73,76,,,,3,جمعية,,,14,طرطوس,
1715,"أنا إنسان",67,73,,,,3,جمعية,,,11,اللاذقية,
1716,"نافذة الحياة في يبرود",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1717,"عائدون الاجتماعية الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1718,"نيزك التنموية",67,73,,,,3,جمعية,,,9,حمص,
1719,"استبرق الخيرية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1720,"السورية لتأهيل الآثار والحرف",67,73,,,,3,جمعية,,,2,حلب,
1721,"أبناء المحبة",67,73,,,,1,مؤسسة,,,1,دمشق,
1722,"نساء سهوة البلاطة التنموية",67,73,,,,3,جمعية,,,5,السويداء,
1723,"العائلة السورية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1724,"رعاية مرضى السرطان",73,76,,,,3,جمعية,,,14,طرطوس,
1725,"شهباء الخير",67,73,,,,3,جمعية,,,2,حلب,
1726,"يعفور الخيرية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1727,فيروزة,67,73,,,,3,جمعية,,,9,حمص,
1728,"شباب الربوة",67,73,,,,3,جمعية,,,9,حمص,
1729,"السورية لمربي الطيور والحيوانات الاليفة",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1730,"السورية لإنقاذ الحيوانات",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1731,"الفريق السوري لإنقاذ الحيوانات- ستار",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1732,"القلب المعطاء",67,73,,,,3,جمعية,,,11,اللاذقية,
1733,تكافل,67,73,,,,3,جمعية,,,1,دمشق,
1734,"معرة صيدنايا",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1735,"فنيي الدراما السورية",67,73,,,,3,جمعية,,,1,دمشق,
1736,"الوفاء التنموية السورية",67,73,,,,3,جمعية,,,1,دمشق,
1737,"مبادرة أهل الشام",80,77,,,,1,مؤسسة,,,,,
1738,بيرويا,83,80,,,,3,جمعية,,,2,حلب,
1739,"بري الخيرية",57,55,,,,3,جمعية,,,8,حماة,
1740,"موج التنموية",67,73,,,,3,جمعية,,,11,اللاذقية,
1741,"سلوك لذوي الإعاقة",67,73,,,,3,جمعية,,,1,دمشق,
1742,"خريجو التشيك وسلوفاكيا",67,73,,,,3,جمعية,,,11,اللاذقية,
1743,"الفينيق السوري",67,73,,,,1,مؤسسة,,,1,دمشق,
1744,"أمل الشهباء",67,73,,,,3,جمعية,,,2,حلب,
1745,"الهادي التنموية الخيرية",67,73,,,,1,مؤسسة,,,1,دمشق,
1746,"بيت الأمل للتشرد والتسول بجرمانا",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1747,"أبي الفداء لذوي الإعاقة الحركية",80,80,,,,3,جمعية,,,8,حماة,
1748,"المرأة الأمة",67,73,,,,1,مؤسسة,,,1,دمشق,
1749,"قلب الجولان الخيرية",67,69,,,,3,جمعية,,,12,القنيطرة,
1750,"خطوة امل",67,73,,,,1,مؤسسة,,,2,حلب,
1751,"لمسات التنموية",57,55,,,,3,جمعية,,,8,حماة,
1752,"المنير الخيرية التنموية",100,94,,,,3,جمعية,,,12,القنيطرة,
1753,"زهرة العطاء",67,73,,,,3,جمعية,,,2,حلب,
1754,"لمسة فرح",67,73,,,,3,جمعية,,,11,اللاذقية,
1755,"جمعية الحنين ( نوروأمل ) لرعاية المصابين بالشلل الدماغي",67,73,,,,3,جمعية,,,1,دمشق,
1756,"مؤسسة شام الخير  بالقامشلي",90,92,,,,3,جمعية,,,3,الحسكة,
1757,"سلمية للمسنين",57,55,,,,3,جمعية,,,8,حماة,
1758,"جمعية بقعسم الخيرية",74,75,,,,3,جمعية,,,13,"ريف دمشق",
1759,"إنماء الخيرية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1760,"النادي السوري التطوعي لمتابعة شؤون الجرحى",67,73,,,,4,نادي,,,9,حمص,
1761,"الضياء التنموية",67,73,,,,3,جمعية,,,1,دمشق,
1762,"الحكيم الخيرية",67,73,,,,1,مؤسسة,,,1,دمشق,
1763,"كرم الخيرية",67,73,,,,3,جمعية,,,2,حلب,
1764,"ود الخيرية بالحسكة",67,73,,,,3,جمعية,,,3,الحسكة,
1765,بابل,67,73,,,,3,جمعية,,,9,حمص,
1766,سوريون,67,73,,,,1,مؤسسة,,,1,دمشق,
1767,"الرواق الخيرية في يبرود",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1768,"أثر التنموية",67,73,,,,1,مؤسسة,,,13,"ريف دمشق",
1769,"الباحثون السوريون",67,73,,,,1,مؤسسة,,,1,دمشق,
1770,"التغذية الخيرية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1771,"تنوير لثقافة الحوار",57,55,,,,3,جمعية,,,8,حماة,
1772,"نادي جرحى الجيش",100,86,,,,4,نادي,,,14,طرطوس,
1773,"شعف الخيرية",67,73,,,,3,جمعية,,,5,السويداء,
1774,"الدريج الخيرية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1775,"حفير التحتا الخيرية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1776,"نادي السيارات والرياضة السوري",67,73,,,,4,نادي,,,1,دمشق,
1777,"القدموس للتراث والسياحة",77,80,,,,3,جمعية,,,14,طرطوس,
1778,"نحن الأمل",67,73,,,,3,جمعية,,,11,اللاذقية,
1779,"ولغا الخيرية",67,73,,,,3,جمعية,,,5,السويداء,
1780,"الغور للثقافة والتنمية",67,73,,,,3,جمعية,,,9,حمص,
1781,"التطوير العلمي وتحفيز الذاكرة",67,73,,,,1,مؤسسة,,,1,دمشق,
1782,"المرأة السورية الوطنية",67,73,,,,1,مؤسسة,,,1,دمشق,
1783,السراج,67,73,,,,3,جمعية,,,13,"ريف دمشق",
1784,"بناء المجتمع الانمائية",57,55,,,,3,جمعية,,,8,حماة,
1785,"الجمعية الوطنية للتنمية الاقتصادية والاجتماعية",90,82,,,,3,جمعية,,,8,حماة,
1786,"قطرة أمل لرعاية الطفولة",57,59,,,,3,جمعية,,,8,حماة,
1787,"الشروق الخيرية في بيت ياشوط",67,73,,,,3,جمعية,,,11,اللاذقية,
1788,لوريل,73,76,,,,1,مؤسسة,,,14,طرطوس,
1789,"السورية لرعاية المعاقين",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1790,"انهض التنموية",83,78,,,,3,جمعية,,,2,حلب,
1791,"السعادة الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1792,"الفرنلق البيئية التنموية",67,73,,,,3,جمعية,,,11,اللاذقية,
1793,"طريق الشمس للتنمية والتطوير",67,73,,,,3,جمعية,,,1,دمشق,
1794,"منارة الطريق",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1795,"مشاعل النور للخدمات الاجتماعية بالحسكة",67,73,,,,3,جمعية,,,3,الحسكة,
1796,الخصيب,57,55,,,,3,جمعية,,,8,حماة,
1797,سلسبيل,67,73,,,,3,جمعية,,,1,دمشق,
1798,"خربة القصر الخيرية",57,55,,,,3,جمعية,,,8,حماة,
1799,"النادي السوري لطيور الزينة والحيوانات المنزلية",67,73,,,,4,نادي,,,13,"ريف دمشق",
1800,"من كل قلبك",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1801,"العقيلة السورية",67,73,,,,1,مؤسسة,,,13,"ريف دمشق",
1802,"الرقي للخدمات الاجتماعية بالحسكة",100,92,"2023-10-09 10:12:34",,,3,جمعية,,,3,الحسكة,
1803,"سوريا إلنا الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1804,"نادي أصدقاء المسرح",67,73,,,,4,نادي,,,11,اللاذقية,
1805,"كفر شاغر الخيرية",83,78,,,,3,جمعية,,,14,طرطوس,
1806,"زهرة سورية الخيرية",67,73,,,,3,جمعية,,,5,السويداء,
1807,"نبضة حياة",67,73,,,,3,جمعية,,,9,حمص,
1808,"قلب واحد نبض واحد",90,80,,,,1,مؤسسة,,,14,طرطوس,
1809,"الحضن الدافئ",83,82,,,,3,جمعية,,,6,درعا,
1810,سلام,67,73,,,,1,مؤسسة,,,1,دمشق,
1811,"أطفال الغد",67,73,,,,3,جمعية,,,5,السويداء,
1812,"أبناء النصر",57,55,,,,3,جمعية,,,8,حماة,
1813,"الجمعية الوطنية التنموية للعلوم والتكنلوجيا",57,55,,,,3,جمعية,,,8,حماة,
1814,"الوادي لرعاية المسنين",67,73,,,,3,جمعية,,,9,حمص,
1815,"ع سيار",67,73,,,,1,مؤسسة,,,1,دمشق,
1816,"جود بلا حدود",67,73,,,,3,جمعية,,,9,حمص,
1817,"صوت الخير",57,57,,,,3,جمعية,,,8,حماة,
1818,"مركز الإغاثة والتنمية",67,73,,,,1,مؤسسة,,,1,دمشق,
1819,"زهور الامل",67,73,,,,3,جمعية,,,6,درعا,
1820,"خالد الخيرية",57,57,,,,3,جمعية,,,8,حماة,
1821,"المرانة الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1822,"البطيحة الخيرية",57,55,,,,3,جمعية,,,12,القنيطرة,
1823,لبلادي,73,75,,,,3,جمعية,,,13,"ريف دمشق",
1824,"الودق الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1825,"أمل وعمل",67,73,,,,1,مؤسسة,,,1,دمشق,
1826,"أنتِ لتنمية المرأة الريفية",67,73,,,,3,جمعية,,,11,اللاذقية,
1827,"اصدقاء حمص البيئية",67,73,,,,3,جمعية,,,9,حمص,
1828,"العفينة الخيرية لرعاية الاسرة",67,73,,,,3,جمعية,,,5,السويداء,
1829,"الجمعية السورية البحرية",83,78,,,,3,جمعية,,,14,طرطوس,
1830,التلاقي,100,84,,,,3,جمعية,,,14,طرطوس,
1831,"افق للتنمية الانسانية",67,73,,,,3,جمعية,,,6,درعا,
1832,"الجنينة الخيرية",67,73,,,,3,جمعية,,,5,السويداء,
1833,"سورية الخير",67,73,,,,3,جمعية,,,1,دمشق,
1834,"مؤسسة أهداف",90,82,,,,1,مؤسسة,,,1,دمشق,
1835,"المصباح الخيرية لرعاية الأيتام",67,73,,,,3,جمعية,,,2,حلب,
1836,"نفل للخدمات الاجتماعية",100,92,"2023-10-06 20:16:31",,,3,جمعية,,,12,القنيطرة,
1837,"مواكب التنمية",67,73,,,,1,مؤسسة,,,6,درعا,
1838,"نحن لرعاية الأطفال السكريين",100,86,,,,3,جمعية,,,14,طرطوس,
1839,أيادينا,90,84,,,,3,جمعية,,,11,اللاذقية,
1840,"مداد الثقافية",100,86,,,,3,جمعية,,,14,طرطوس,
1841,"نادي الطيران الشرعي",67,73,,,,4,نادي,,,13,"ريف دمشق",
1842,"سلام يا طبيعة",100,86,,,,3,جمعية,,,14,طرطوس,
1843,"صفصاف الخابور الثقافية بالحسكة",67,73,,,,3,جمعية,,,3,الحسكة,
1844,"السورية للبحث والنشر العلمي",67,73,,,,3,جمعية,,,1,دمشق,
1845,تنمويون,67,73,,,,3,جمعية,,,11,اللاذقية,
1846,"رضيمة الشرقية الخيرية",67,73,,,,3,جمعية,,,5,السويداء,
1847,دفى,67,73,,,,3,جمعية,,,1,دمشق,
1848,"صروح للتنمية بالحسكة",67,73,,,,3,جمعية,,,3,الحسكة,
1849,"السورية للطاقة المتجددة وتغيير المناخ والبيئة والموارد الطبيعية",67,73,,,,3,جمعية,,,1,دمشق,
1850,"أبناء الشمس",67,73,,,,3,جمعية,,,11,اللاذقية,
1851,مواهب,67,73,,,,3,جمعية,,,11,اللاذقية,
1852,"كسب الخيرية",83,80,,,,3,جمعية,,,11,اللاذقية,
1853,"القيثارة للآداب والفنون",67,73,,,,3,جمعية,,,2,حلب,
1854,"البيلسان لرعاية و تأهيل ذوي الاعاقة",83,80,,,,3,جمعية,,,8,حماة,
1855,"المثقفون السوريون",67,73,,,,3,جمعية,,,5,السويداء,
1856,"أصدقاء ريف دمشق",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1857,"حدودي السما",67,73,,,,1,مؤسسة,,,1,دمشق,
1858,تعافي,100,86,,,,3,جمعية,,,11,اللاذقية,
1859,وجود,67,73,,,,1,مؤسسة,,,1,دمشق,
1860,"مساواة لتمكين ذوي الاعاقة",67,73,,,,1,مؤسسة,,,13,"ريف دمشق",
1861,"اشراقة سورية",67,73,,,,3,جمعية,,,3,الحسكة,
1862,"رواد الأمان السورية",73,76,,,,3,جمعية,,,14,طرطوس,
1863,"بلسم روحك",67,73,,,,3,جمعية,,,11,اللاذقية,
1864,"سورية عائلة واحدة",83,78,,,,1,مؤسسة,,,14,طرطوس,
1865,"حنايا لإقامة المسنين ورعايتهم",67,73,,,,3,جمعية,,,5,السويداء,
1866,"أشرقت التنموية",67,73,,,,1,مؤسسة,,,13,"ريف دمشق",
1867,"المتونة الخيرية",67,73,,,,3,جمعية,,,5,السويداء,
1868,تراثنا,67,73,,,,1,مؤسسة,,,9,حمص,
1869,"وسام الخير",67,73,,,,3,جمعية,,,2,حلب,
1870,"سيدة السلام",67,73,,,,3,جمعية,,,3,الحسكة,
1871,قمح,80,78,,,,3,جمعية,,,4,الرقة,
1872,"مروج للبيئة",67,73,,,,3,جمعية,,,3,الحسكة,
1873,الأمل,67,73,,,,1,مؤسسة,,,13,"ريف دمشق",
1874,"إرادة الحياة",67,73,,,,3,جمعية,,,11,اللاذقية,
1875,"السبيل الخيرية",83,80,,,,3,جمعية,,,14,طرطوس,
1876,"النادي الأهلي الاجتماعي",73,76,,,,4,نادي,,,14,طرطوس,
1877,"خان جليمدون الخيرية",83,78,,,,3,جمعية,,,8,حماة,
1878,"توليب الخيرية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1879,"عين الشرق",67,73,,,,1,مؤسسة,,,1,دمشق,
1880,"الخابور للتنمية",67,73,,,,3,جمعية,,,3,الحسكة,
1881,"شباب صدد",67,73,,,,3,جمعية,,,9,حمص,
1882,"سلمية الثقافية",57,55,,,,1,مؤسسة,,,8,حماة,
1883,"فيض للخدمات الاجتماعية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1884,"ومضات الخيرية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1885,"خبرات لذوي الإعاقة",67,73,,,,3,جمعية,,,1,دمشق,
1886,"الوردة البيضاء",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1887,"نسعى للخير",67,73,,,,3,جمعية,,,7,"دير الزور",
1888,"أليسار لرعاية ومعالجة أطفال السرطان",67,73,,,,1,مؤسسة,,,13,"ريف دمشق",
1889,"السابقون للتنمية",67,73,,,,3,جمعية,,,1,دمشق,
1890,الليلك,67,73,,,,3,جمعية,,,1,دمشق,
1891,"الريمة الخيرية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1892,"وعي للخدمات الاجتماعية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1893,"بوابة الفن",67,73,,,,1,مؤسسة,,,1,دمشق,
1894,تعزيز,57,55,,,,1,مؤسسة,,,8,حماة,
1895,سمو,67,73,,,,3,جمعية,,,1,دمشق,
1896,"أصدقاء الطفولة",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1897,"مبدعون من أجل الوطن",67,73,,,,1,مؤسسة,,,1,دمشق,
1898,"العرين الانسانية",57,55,,,,1,مؤسسة,,,8,حماة,
1899,"الكفيل للرعاية الاجتماعية",67,73,,,,1,مؤسسة,,,1,دمشق,
1900,ورد,67,73,,,,1,مؤسسة,,,1,دمشق,
1901,"القلب الأبيض",67,73,,,,3,جمعية,,,2,حلب,
1902,"الأيادي الخيرة",67,73,,,,3,جمعية,,,1,دمشق,
1903,"خاتون التراثية الثقافية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1904,"اباء الخيرية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1905,"السورية لتقنيي التصوير الطبي",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1906,جيا,67,73,,,,1,مؤسسة,,,13,"ريف دمشق",
1907,ينبوع,67,73,,,,3,جمعية,,,1,دمشق,
1908,"الهالة الخيرية التنموية",67,73,,,,1,مؤسسة,,,1,دمشق,
1909,غسق,67,73,,,,3,جمعية,,,6,درعا,
1910,"قناديل للتنمية المستدامة",67,73,,,,1,مؤسسة,,,13,"ريف دمشق",
1911,كيان,67,73,,,,1,مؤسسة,,,1,دمشق,
1912,الدروب,100,86,,,,3,جمعية,,,14,طرطوس,
1913,"السورية للداء الزلاقي",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1914,"جب الصفا الخيرية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1915,"نور الزهراء التعليمية",67,73,,,,3,جمعية,,,2,حلب,
1916,"بنيان للتنمية والاسكان",67,73,,,,3,جمعية,,,,,
1917,"سوار لرعاية المعاقين",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1918,تكامل,90,84,,,,3,جمعية,,,2,حلب,
1919,تفاصيل,67,73,,,,1,مؤسسة,,,13,"ريف دمشق",
1920,"أصدقاء المتاحف والمواقع الأثرية السورية",67,73,,,,3,جمعية,,,1,دمشق,
1921,"روز للتنمية",67,73,,,,1,مؤسسة,,,,,
1922,يؤثرون,67,73,,,,1,مؤسسة,,,13,"ريف دمشق",
1923,مسارات,67,73,,,,1,مؤسسة,,,1,دمشق,
1924,"الرضوان الخيرية",67,73,,,,3,جمعية,,,9,حمص,
1925,"هنا هويتي",67,73,,,,1,مؤسسة,,,1,دمشق,
1926,"البيان للثقافة والفنون",67,73,,,,3,جمعية,,,3,الحسكة,
1927,"جمعية السقيلبية الخيرية",57,55,,,,3,جمعية,,,8,حماة,
1928,الفيلسوف,67,73,,,,3,جمعية,,,6,درعا,
1929,شغف,67,73,,,,1,مؤسسة,,,1,دمشق,
1930,"جمعية سنديان لحماية البيئة والتنمية المستدامة",100,86,,,,3,جمعية,,,14,طرطوس,
1931,"أصدقاء الغد",73,76,,,,3,جمعية,,,14,طرطوس,
1932,بابنيان,67,73,,,,1,مؤسسة,,,9,حمص,
1933,"نسمة بحرية",73,76,,,,3,جمعية,,,14,طرطوس,
1934,همم,100,88,,,,3,جمعية,,,12,القنيطرة,
1935,"أسرتي أمانتي",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1936,"هبة الخيرية",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1937,الرمانة,67,73,,,,1,مؤسسة,,,,,
1938,"بيت الخط العربي والفنون",67,73,,,,3,جمعية,,,1,دمشق,
1939,"السورية للاختراع والبحث العلمي",57,55,,,,3,جمعية,,,8,حماة,
1940,المناهل,100,92,"2023-10-09 10:17:10",,,3,جمعية,,,3,الحسكة,
1941,"جمعية نبراس للتنمية",90,82,,,,3,جمعية,,,4,الرقة,
1942,"جديدة الخاص",67,73,,,,3,جمعية,,,13,"ريف دمشق",
1943,إنانا,57,57,,,,1,مؤسسة,,,12,القنيطرة,
1944,جيلنا,67,73,,,,1,مؤسسة,,,1,دمشق,
1945,"المشرقيون السوريون",67,73,,,,3,جمعية,,,2,حلب,
